station_name,station_id,time,timezone,longitude_deg,latitude_deg,site_altitude_m,height_m,wind_dir_deg,wind_speed_mps,vertical_speed_mps,quality_flag_1,quality_flag_2,cn2_m_neg_2_3,profiler_source,profile_id,temperature_c,pressure_hpa,potential_temperature_k,u_ms,v_ms,dtheta_dz_k_per_m,du_dz_per_s,dv_dz_per_s,n2_per_s2,shear2_per_s2,ri_model_a,ri_target,turbulence_index,nearest_radiometer_gap_min,model_b_shear_per_s,horizontal_wind_tendency_mps2,vertical_wind_tendency_mps2,shear_tendency_per_s2,temporal_support_count,baseline_oof,baseline_oof_std,model_b_spatial_oof,model_b_spatial_oof_std,model_b_spatiotemporal_oof,model_b_spatiotemporal_oof_std,model_b_spatial_final,model_b_spatial_final_std,model_b_spatiotemporal_final,model_b_spatiotemporal_final_std,model_b_final,model_b_final_std
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,100.0,152.4,2.6,-0.2,100,100,2.1e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.371,985.9556178956315,299.7310127525524,-1.2045696913116402,2.3041293060011583,0.009096736199439685,0.0026763157960582,0.0066905990832126705,0.00029762855445286424,5.192678233251687e-05,5.731696459583775,5.731696459583775,0.1485509642337365,0.0,0.0048068436334863796,0.0006206193019293903,9.259259259259262e-05,5.805186015873763e-07,6,4.822440507094875,5.738302840921737,7.778581255625287,4.9735972496606715,7.746542045498064,4.926269984577776,8.105549801943312,5.0124519469088105,8.048512414052182,4.964736400077127,8.048512414052182,4.964736400077127
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,160.0,158.9,2.9,-0.1,100,100,2e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.3278,979.2079601170614,300.27681692451876,-1.0439907435481481,2.7055652509939185,0.009119105709571418,0.006387943243324945,0.003844983730543556,0.00029781812303294867,5.558971876808547e-05,5.357431727176295,5.357431727176295,0.15729622320995937,0.0,0.005618029904729627,0.0005083587480430987,4.629629629629631e-05,1.2461764927508556e-06,6,4.818777348636643,5.72525805956348,6.669574701171428,4.967718604154905,7.113712516490762,4.923260644440181,7.006877812271973,5.007205338069886,7.453497224619129,4.960813391518383,7.453497224619129,4.960813391518383
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,220.0,171.0,2.8,0.0,100,100,1.2e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.2862,972.5055330150906,300.82530543770093,-0.4380165021126467,2.765527353666385,0.009177369640852806,0.010817359912567812,-0.00014623288804668788,0.0002991744722323816,0.00011703665953557556,2.556245824338841,2.556245824338841,0.2811954092588397,0.0,0.006843214476574062,0.0005633367251811013,0.0,1.1483601103621636e-06,6,5.222711397589223,5.711462793868262,5.006727023184625,4.965581041591952,5.154324447974081,4.9267006277220915,5.389458944267488,5.004967843377909,5.580496604911681,4.963310709893362,5.580496604911681,4.963310709893362
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,280.0,185.4,2.7,0.2,100,100,1.6e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.2478,965.8480931235405,301.3781012814211,0.2540924459599893,2.688017304428316,0.00918188449178281,0.014648616764003267,-0.0005953718865378162,0.00029877262869627336,0.00021493644078191714,1.39005106630299,1.39005106630299,0.4184011020094366,0.0,0.008709363217629674,0.0006811619189034431,9.259259259259262e-05,4.6473443278044143e-07,6,5.407957522031078,5.7047201664452345,2.3842831354432352,4.969070275856314,1.7234550598287726,4.939317663669608,2.8033413199698227,5.0078777843653866,2.2042089935750298,4.975551337921581,2.2042089935750298,4.975551337921581
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,340.0,206.1,3.0,0.2,100,100,1.4e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.2046,959.2353267735101,301.9271315767149,1.3198175095677454,2.694082727281847,0.009130803366157014,0.004507439219013259,-0.013828555929754825,0.0002965702100474277,0.00021154596741545617,1.4019185223464554,1.4019185223464554,0.4163338559141012,0.0,0.008869459770544959,0.001154784047145224,4.629629629629636e-05,1.6692849429743132e-07,6,6.389550643548127,5.697073558875225,2.2484186084226447,4.970128729298628,0.5291704059444964,4.964600224908271,2.686055571028467,5.008552890167096,1.047527266817756,4.997803604292087,1.047527266817756,4.997803604292087
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,400.0,217.7,1.3,0.0,100,100,1.6e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.158,952.6668502803392,302.47379768535995,0.7949851522415804,1.0285905928577372,0.008629499129781504,-0.002688634553654595,-0.016887733239012347,0.00027978118530816394,0.00029242428971514787,0.9567645204189446,0.9567645204189446,0.5110476961151663,0.0,0.007657129168967932,0.0012386908869542223,4.629629629629631e-05,1.2226080408951411e-06,6,8.336598284316551,5.704016600182603,4.152814548528333,4.968870937149926,3.108345248889689,4.9322303132825285,4.6195638830674195,5.006875645520863,3.581186621425946,4.969163853468564,3.581186621425946,4.969163853468564
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,460.0,236.2,1.2,0.1,100,100,1.6e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,25.0534,946.1417041807322,302.96267147228866,0.9971813631291939,0.6675547386003656,0.007927098036753844,0.0031577256919753357,-0.0007901553158442308,0.00025659357829250796,1.0595576968918009e-05,24.21704632463357,20.0,0.047619047619047616,0.0,0.007733536982026485,0.001261922995141829,0.0,7.828937679626934e-07,6,9.037867937812958,5.710659910725083,4.026784316049382,4.965373608427363,2.5850697828444744,4.944159737814513,4.44158173897333,5.004569014134333,3.060713996327978,4.979918501370522,3.060713996327978,4.979918501370522
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,520.0,231.5,1.5,-0.0,100,100,1.5e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,24.9218,939.6586926970123,303.42504944977037,1.1739122352786207,0.9337719549564294,0.007272336078348207,0.0031190526499515463,0.0013042181771310123,0.00023504076124255345,1.1429474486728705e-05,20.56444165612953,20.0,0.047619047619047616,0.0,0.007526253593177562,0.0012587423063259576,0.0,9.033116081459854e-08,6,9.164953286190357,5.703184221831437,4.48451885413305,4.968047963975927,2.7237818854767912,4.959048402694228,4.950189078419729,5.006209020026166,3.2385608843694857,4.992601231425566,3.2385608843694857,4.992601231425566
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,580.0,239.0,1.6,-0.0,100,100,1.6e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,24.7382,933.2167092085953,303.8353518016904,1.3714676811233795,0.8240609198560871,0.006552430874189774,0.0026884515247898935,-0.00693124182465465,0.00021148755683411438,5.526988483298702e-05,3.826451918131936,3.826451918131936,0.2071915388285992,0.0,0.006768420977310295,0.0009256252613474737,0.0,5.899966183228657e-07,6,9.607006000053245,5.70387815286159,5.5766471025029345,4.9641901118608525,4.7486326222677855,4.929420658857097,5.983084115596125,5.003599146465774,5.198773359511822,4.966700504185153,5.198773359511822,4.966700504185153
a,58235,2025-08-02 00:00:00,LC,118.8472,32.3686,16.2,640.0,266.1,1.5,0.0,100,100,1.5e-16,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,a__2025-08-02 00:00:00,24.520200000000003,926.8145901615878,304.21134115467316,1.496526418253408,0.1020229359978715,0.0061345638692045235,0.008026620221493105,-0.011502132402017196,0.00019775568044107548,0.0001967256819736159,1.0052357092227426,1.0052357092227426,0.49869449032882723,0.0,0.006198767083306495,0.0005639424468373115,0.0,1.026678709823846e-06,6,11.033363279549084,5.7184619903543625,6.417032494463718,4.961983160581729,6.5290038460423,4.921401244355661,6.780188029007908,5.00213498938598,6.931280768724171,4.95927716602809,6.931280768724171,4.95927716602809
